date,sentiment_score,news_volume
2026-06-11,-0.5994,1
2026-05-15,0.0,1
2026-05-14,0.0,1
2026-06-12,-0.9398272633552552,3
2026-06-10,-0.5997447371482849,1
2026-06-04,-0.8617194294929504,1
2026-06-03,-0.0632876604795456,2
2026-05-27,-0.0033822618424892,1
2026-05-24,-0.0838566273450851,1
2026-06-15,-0.5994,1
2026-06-14,-0.5994,1
2026-06-13,-0.5994,1
2026-06-06,0.0,1
2026-06-02,0.34,1
2026-06-01,0.0,1
2026-05-30,-0.2732,1
2026-05-29,0.0,1
2026-05-28,0.128,1
2026-05-25,0.0,1
2026-05-22,0.0,1
2026-05-21,-0.3612,1
2026-05-20,-0.2263,1
2026-05-19,0.0,1
2026-05-18,0.2732,1
2026-05-17,-0.7351,1
2026-05-16,-0.27115,2
2026-05-07,0.1366,2
2026-05-06,-0.3612,1
2026-04-29,-0.7269,1
2026-04-26,-0.6808,1
