date,sentiment_score,news_volume
2026-05-28,0.234,2
2026-05-25,0.0,1
2026-05-22,0.0,1
2026-05-21,-0.40080000000000005,2
2026-05-20,-0.1439,3
2026-05-19,0.0,1
2026-05-18,0.2732,1
2026-05-17,-0.7351,1
2026-05-16,-0.27115,2
2026-05-07,0.318,3
2026-05-06,-0.25715,2
2026-04-29,-0.4646,2
2026-04-26,-0.7184,1
2026-04-24,0.0,2
2026-04-22,0.0,1
2026-04-21,0.2732,1
2026-04-20,-0.5432,1
2026-05-27,0.2023,1
2026-05-24,0.296,1
2026-05-15,0.0,1
2026-05-14,-0.125,2
2026-05-12,-0.4767,1
2026-05-09,-0.4939,1
2026-05-04,0.33185000000000003,2
2026-05-03,0.08895,2
2026-04-28,-0.4019,1
2026-04-27,-0.296,1
